Experiment,Dist,N,M,Seed,Algo,Params,Time,Obj,Status,Gap
pilot_b_tuning,uniform,30,4,2185,IG,"d=6,T=0.5,t=5.0s",5.0,217,HEURISTIC,4.830917874396135
pilot_b_tuning,uniform,30,4,2186,IG,"d=2,T=0.1,t=5.0s",5.0,203,HEURISTIC,7.4074074074074066
pilot_b_tuning,uniform,30,4,2186,IG,"d=2,T=0.5,t=5.0s",5.0,202,HEURISTIC,6.878306878306878
pilot_b_tuning,uniform,30,4,2186,IG,"d=4,T=0.1,t=5.0s",5.0,201,HEURISTIC,6.349206349206349
pilot_b_tuning,uniform,30,4,2186,IG,"d=4,T=0.5,t=5.0s",5.0,201,HEURISTIC,6.349206349206349
pilot_b_tuning,uniform,30,4,2186,IG,"d=6,T=0.1,t=5.0s",5.0,201,HEURISTIC,6.349206349206349
pilot_b_tuning,uniform,30,4,2186,IG,"d=6,T=0.5,t=5.0s",5.0,201,HEURISTIC,6.349206349206349
pilot_b_tuning,uniform,30,4,2187,IG,"d=2,T=0.1,t=5.0s",5.0,245,HEURISTIC,6.986899563318777
pilot_b_tuning,uniform,30,4,2187,IG,"d=2,T=0.5,t=5.0s",5.0,245,HEURISTIC,6.986899563318777
pilot_b_tuning,uniform,30,4,2187,IG,"d=4,T=0.1,t=5.0s",5.0,243,HEURISTIC,6.11353711790393
pilot_b_tuning,uniform,30,4,2187,IG,"d=4,T=0.5,t=5.0s",5.0,243,HEURISTIC,6.11353711790393
pilot_b_tuning,uniform,30,4,2187,IG,"d=6,T=0.1,t=5.0s",5.0,243,HEURISTIC,6.11353711790393
pilot_b_tuning,uniform,30,4,2187,IG,"d=6,T=0.5,t=5.0s",5.0,243,HEURISTIC,6.11353711790393
pilot_b_tuning,uniform,30,4,2188,IG,"d=2,T=0.1,t=5.0s",5.0,272,HEURISTIC,4.21455938697318
pilot_b_tuning,uniform,30,4,2188,IG,"d=2,T=0.5,t=5.0s",5.0,271,HEURISTIC,3.8314176245210727
pilot_b_tuning,uniform,30,4,2188,IG,"d=4,T=0.1,t=5.0s",5.0,271,HEURISTIC,3.8314176245210727
pilot_b_tuning,uniform,30,4,2188,IG,"d=4,T=0.5,t=5.0s",5.0,271,HEURISTIC,3.8314176245210727
pilot_b_tuning,uniform,30,4,2188,IG,"d=6,T=0.1,t=5.0s",5.0,271,HEURISTIC,3.8314176245210727
pilot_b_tuning,uniform,30,4,2188,IG,"d=6,T=0.5,t=5.0s",5.0,271,HEURISTIC,3.8314176245210727
pilot_b_tuning,job_correlated,30,5,2199,IG,"d=2,T=0.1,t=5.0s",5.0,246,HEURISTIC,5.579399141630901
pilot_b_tuning,job_correlated,30,5,2199,IG,"d=2,T=0.5,t=5.0s",5.0,246,HEURISTIC,5.579399141630901
pilot_b_tuning,job_correlated,30,5,2199,IG,"d=4,T=0.1,t=5.0s",5.0,241,HEURISTIC,3.4334763948497855
pilot_b_tuning,job_correlated,30,5,2199,IG,"d=4,T=0.5,t=5.0s",5.0,244,HEURISTIC,4.721030042918455
pilot_b_tuning,job_correlated,30,5,2199,IG,"d=6,T=0.1,t=5.0s",5.0,241,HEURISTIC,3.4334763948497855
pilot_b_tuning,job_correlated,30,5,2199,IG,"d=6,T=0.5,t=5.0s",5.0,243,HEURISTIC,4.291845493562231
pilot_b_tuning,job_correlated,30,5,2200,IG,"d=2,T=0.1,t=5.0s",5.0,289,HEURISTIC,3.9568345323741005
pilot_b_tuning,job_correlated,30,5,2200,IG,"d=2,T=0.5,t=5.0s",5.0,289,HEURISTIC,3.9568345323741005
pilot_b_tuning,job_correlated,30,5,2200,IG,"d=4,T=0.1,t=5.0s",5.0,287,HEURISTIC,3.237410071942446
pilot_b_tuning,job_correlated,30,5,2200,IG,"d=4,T=0.5,t=5.0s",5.0,288,HEURISTIC,3.597122302158273
pilot_b_tuning,job_correlated,30,5,2200,IG,"d=6,T=0.1,t=5.0s",5.0,287,HEURISTIC,3.237410071942446
pilot_b_tuning,job_correlated,30,5,2200,IG,"d=6,T=0.5,t=5.0s",5.0,289,HEURISTIC,3.9568345323741005
pilot_b_tuning,job_correlated,30,5,2201,IG,"d=2,T=0.1,t=5.0s",5.0,309,HEURISTIC,3.691275167785235
