Experiment,Dist,N,M,Replica,Seed,Algo,Params,Time,Obj,Status,Gap,Nodes
workhorse_final,job_correlated,10,2,2,2051,BnB,TL=60s,0.0,302,OPTIMAL,2.027027027027027,160
workhorse_final,job_correlated,10,2,2,2051,IG,"d=4,T=0.1,t=30s",30.0,302,HEURISTIC_OPT_GAP,0.0,588911
workhorse_final,job_correlated,10,2,3,2052,BnB,TL=60s,0.0,281,OPTIMAL,2.181818181818182,112
workhorse_final,job_correlated,10,2,3,2052,IG,"d=4,T=0.1,t=30s",30.0,281,HEURISTIC_OPT_GAP,0.0,596561
workhorse_final,job_correlated,10,2,4,2053,BnB,TL=60s,0.0,242,OPTIMAL,2.9787234042553195,155
workhorse_final,job_correlated,10,2,4,2053,IG,"d=4,T=0.1,t=30s",30.0,242,HEURISTIC_OPT_GAP,0.0,612808
workhorse_final,uniform,10,2,0,2044,BnB,TL=60s,0.0,218,OPTIMAL,6.862745098039216,76
workhorse_final,uniform,10,2,0,2044,IG,"d=4,T=0.1,t=30s",30.0,218,HEURISTIC_OPT_GAP,0.0,574646
workhorse_final,uniform,10,2,1,2045,BnB,TL=60s,0.0,236,OPTIMAL,10.7981220657277,81
workhorse_final,uniform,10,2,1,2045,IG,"d=4,T=0.1,t=30s",30.0,236,HEURISTIC_OPT_GAP,0.0,592585
workhorse_final,uniform,10,2,2,2046,BnB,TL=60s,0.0,218,OPTIMAL,3.3175355450236967,81
workhorse_final,uniform,10,2,2,2046,IG,"d=4,T=0.1,t=30s",30.0,218,HEURISTIC_OPT_GAP,0.0,593903
workhorse_final,uniform,10,2,3,2047,BnB,TL=60s,0.0,153,OPTIMAL,5.517241379310345,31
workhorse_final,uniform,10,2,3,2047,IG,"d=4,T=0.1,t=30s",30.0,153,HEURISTIC_OPT_GAP,0.0,591375
workhorse_final,uniform,10,2,4,2048,BnB,TL=60s,0.0,219,OPTIMAL,11.16751269035533,61
workhorse_final,uniform,10,2,4,2048,IG,"d=4,T=0.1,t=30s",30.0,219,HEURISTIC_OPT_GAP,0.0,588734
workhorse_final,job_correlated,10,4,0,2059,BnB,TL=60s,0.0,143,OPTIMAL,4.37956204379562,399
workhorse_final,job_correlated,10,4,0,2059,IG,"d=4,T=0.1,t=30s",30.0,143,HEURISTIC_OPT_GAP,0.0,591464
workhorse_final,job_correlated,10,4,1,2060,BnB,TL=60s,0.0,131,OPTIMAL,11.016949152542372,71
workhorse_final,job_correlated,10,4,1,2060,IG,"d=4,T=0.1,t=30s",30.0,131,HEURISTIC_OPT_GAP,0.0,706382
workhorse_final,job_correlated,10,4,2,2061,BnB,TL=60s,0.0,148,OPTIMAL,10.44776119402985,201
workhorse_final,job_correlated,10,4,2,2061,IG,"d=4,T=0.1,t=30s",30.0,148,HEURISTIC_OPT_GAP,0.0,1109481
workhorse_final,job_correlated,10,4,3,2062,BnB,TL=60s,0.0,173,OPTIMAL,10.897435897435898,1183
workhorse_final,job_correlated,10,4,3,2062,IG,"d=4,T=0.1,t=30s",30.0,173,HEURISTIC_OPT_GAP,0.0,1508635
workhorse_final,job_correlated,10,4,4,2063,BnB,TL=60s,0.0,124,OPTIMAL,10.714285714285714,480
workhorse_final,job_correlated,10,4,4,2063,IG,"d=4,T=0.1,t=30s",30.0,124,HEURISTIC_OPT_GAP,0.0,1235234
workhorse_final,uniform,10,4,0,2054,BnB,TL=60s,0.0,81,OPTIMAL,15.714285714285714,112
workhorse_final,uniform,10,4,0,2054,IG,"d=4,T=0.1,t=30s",30.0,81,HEURISTIC_OPT_GAP,0.0,553271
workhorse_final,uniform,10,4,1,2055,BnB,TL=60s,0.0,82,OPTIMAL,30.158730158730158,57
workhorse_final,uniform,10,4,1,2055,IG,"d=4,T=0.1,t=30s",30.0,82,HEURISTIC_OPT_GAP,0.0,559753
workhorse_final,uniform,10,4,2,2056,BnB,TL=60s,0.0,79,OPTIMAL,17.91044776119403,114
workhorse_final,uniform,10,4,2,2056,IG,"d=4,T=0.1,t=30s",30.0,79,HEURISTIC_OPT_GAP,0.0,576612
workhorse_final,uniform,10,4,3,2057,BnB,TL=60s,0.0,93,OPTIMAL,25.675675675675674,146
workhorse_final,uniform,10,4,3,2057,IG,"d=4,T=0.1,t=30s",30.0,93,HEURISTIC_OPT_GAP,0.0,557750
workhorse_final,uniform,10,4,4,2058,BnB,TL=60s,0.0,95,OPTIMAL,26.666666666666668,16
workhorse_final,uniform,10,4,4,2058,IG,"d=4,T=0.1,t=30s",30.0,95,HEURISTIC_OPT_GAP,0.0,577994
workhorse_final,job_correlated,12,2,0,2069,BnB,TL=60s,0.0,361,OPTIMAL,2.26628895184136,481
