Experiment,Dist,N,M,Replica,Seed,Algo,Params,Time,Obj,Status,Gap,Nodes
pilot_c_convergence,uniform,100,5,4,2318,IG,"d=6,T=0.1,t=30.0s",30.0,579,HEURISTIC_RPD,1.936619718309859,149791
pilot_c_convergence,uniform,100,5,4,2318,IG,"d=6,T=0.1,t=60.0s",60.0,579,HEURISTIC_RPD,1.936619718309859,319417
pilot_c_convergence,job_correlated,100,10,0,2329,IG,"d=6,T=0.1,t=0.1s",0.109375,507,HEURISTIC_RPD,10.217391304347826,455
pilot_c_convergence,job_correlated,100,10,0,2329,IG,"d=6,T=0.1,t=0.5s",0.5,502,HEURISTIC_RPD,9.130434782608695,2615
pilot_c_convergence,job_correlated,100,10,0,2329,IG,"d=6,T=0.1,t=1.0s",1.0,499,HEURISTIC_RPD,8.478260869565217,4808
pilot_c_convergence,job_correlated,100,10,0,2329,IG,"d=6,T=0.1,t=5.0s",5.0,489,HEURISTIC_RPD,6.304347826086956,23319
pilot_c_convergence,job_correlated,100,10,0,2329,IG,"d=6,T=0.1,t=10.0s",10.0,487,HEURISTIC_RPD,5.869565217391305,46829
pilot_c_convergence,job_correlated,100,10,0,2329,IG,"d=6,T=0.1,t=30.0s",30.0,487,HEURISTIC_RPD,5.869565217391305,141154
pilot_c_convergence,job_correlated,100,10,0,2329,IG,"d=6,T=0.1,t=60.0s",60.0,487,HEURISTIC_RPD,5.869565217391305,285823
pilot_c_convergence,job_correlated,100,10,1,2330,IG,"d=6,T=0.1,t=0.1s",0.109375,533,HEURISTIC_RPD,8.997955010224949,504
pilot_c_convergence,job_correlated,100,10,1,2330,IG,"d=6,T=0.1,t=0.5s",0.5,531,HEURISTIC_RPD,8.588957055214724,2418
pilot_c_convergence,job_correlated,100,10,1,2330,IG,"d=6,T=0.1,t=1.0s",1.0,531,HEURISTIC_RPD,8.588957055214724,4818
pilot_c_convergence,job_correlated,100,10,1,2330,IG,"d=6,T=0.1,t=5.0s",5.0,526,HEURISTIC_RPD,7.566462167689162,21292
pilot_c_convergence,job_correlated,100,10,1,2330,IG,"d=6,T=0.1,t=10.0s",10.0,524,HEURISTIC_RPD,7.157464212678937,42736
pilot_c_convergence,job_correlated,100,10,1,2330,IG,"d=6,T=0.1,t=30.0s",30.0,519,HEURISTIC_RPD,6.134969325153374,129646
pilot_c_convergence,job_correlated,100,10,1,2330,IG,"d=6,T=0.1,t=60.0s",60.0,515,HEURISTIC_RPD,5.316973415132924,258898
pilot_c_convergence,job_correlated,100,10,2,2331,IG,"d=6,T=0.1,t=0.1s",0.109375,550,HEURISTIC_RPD,9.780439121756487,406
pilot_c_convergence,job_correlated,100,10,2,2331,IG,"d=6,T=0.1,t=0.5s",0.5,540,HEURISTIC_RPD,7.784431137724551,2381
